model_id,category_id,model_name,engine_series,list_price_usd
1,1,Cat 320 GC,Cat C4.4,185000
2,1,Cat 323,Cat C4.4,210000
3,1,Cat 336,Cat C9.3B,310000
4,1,Cat 349,Cat C9.3B,420000
5,1,Cat 374F,Cat C15,610000
6,2,Cat 6015B,Cat C27,2200000
7,2,Cat 6020B,Cat C32,3400000
8,2,Cat 6030,Cat 3512,5200000
9,3,Cat 725,Cat C9.3,480000
10,3,Cat 730,Cat C9.3,540000
11,3,Cat 745,Cat C15,690000
12,3,Cat 777,Cat C27,2600000
13,3,Cat 785D,Cat 3512,3800000
14,3,Cat 793F,Cat 3516,5600000
15,4,Cat 8750,Electric Drive,45000000
16,5,Cat D6,Cat C9.3,520000
17,5,Cat D8,Cat C15,890000
18,5,Cat D9,Cat C18,1250000
19,5,Cat D11,Cat 3512,2450000
20,6,Cat 120,Cat C7.1,310000
21,6,Cat 140,Cat C9.3,390000
22,6,Cat 160,Cat C13,470000
23,7,Cat CS56,Cat C4.4,190000
24,7,Cat CS74B,Cat C7.1,240000
25,7,Cat PS-360B,Cat C4.4,210000
26,8,Cat AP555F,Cat C4.4,310000
27,8,Cat AP1055F,Cat C7.1,460000
28,9,Cat 420,Cat C4.4,120000
29,9,Cat 432,Cat C4.4,145000
30,9,Cat 444,Cat C4.4,165000
31,10,Cat 950 GC,Cat C7.1,310000
32,10,Cat 966,Cat C9.3,410000
33,10,Cat 980,Cat C13,560000
34,10,Cat 992,Cat C32,1650000
35,11,Cat 236D,Cat C3.3B,68000
36,11,Cat 262D,Cat C3.8,82000
37,11,Cat 272D,Cat C3.8,95000
38,12,Cat RM300,Cat C13,520000
39,12,Cat RM500,Cat C18,780000
